2012-07-03 14:36:16,568  0.64 Click(127,621)
2012-07-03 14:36:21,118  5.19 Flick from(82,636)to(97,261)
2012-07-03 14:36:21,654  5.72 Flick from(82,636)to(97,261)
2012-07-03 14:36:22,191  6.26 Flick from(82,636)to(97,261)
2012-07-03 14:36:22,733  6.80 Flick from(82,636)to(97,261)
2012-07-03 14:36:23,265  7.34 Flick from(82,636)to(97,261)
2012-07-03 14:36:23,809  7.88 Flick from(82,636)to(97,261)
2012-07-03 14:36:24,341  8.41 Flick from(82,636)to(97,261)
2012-07-03 14:36:24,871  8.94 Flick from(82,636)to(97,261)
2012-07-03 14:36:25,401  9.47 Flick from(82,636)to(97,261)
2012-07-03 14:36:25,930  10.00 Flick from(82,636)to(97,261)
2012-07-03 14:36:26,460  10.53 Flick from(82,636)to(97,261)
2012-07-03 14:36:26,990  11.06 Flick from(82,636)to(97,261)
2012-07-03 14:36:27,520  11.59 Flick from(82,636)to(97,261)
2012-07-03 14:36:28,052  12.12 Flick from(82,636)to(97,261)
2012-07-03 14:36:28,582  12.65 Flick from(82,636)to(97,261)
2012-07-03 14:36:29,117  13.19 Flick from(82,636)to(97,261)
2012-07-03 14:36:29,650  13.72 Flick from(82,636)to(97,261)
2012-07-03 14:36:30,184  14.25 Flick from(82,636)to(97,261)
2012-07-03 14:36:30,713  14.78 Flick from(82,636)to(97,261)
2012-07-03 14:36:31,243  15.31 Flick from(82,636)to(97,261)
2012-07-03 14:36:31,775  15.85 Flick from(82,636)to(97,261)
2012-07-03 14:36:32,305  16.38 Flick from(82,636)to(97,261)
2012-07-03 14:36:32,835  16.90 Flick from(82,636)to(97,261)
2012-07-03 14:36:33,365  17.43 Flick from(82,636)to(97,261)
2012-07-03 14:36:33,897  17.97 Flick from(82,636)to(97,261)
2012-07-03 14:36:34,427  18.50 Flick from(82,636)to(97,261)
2012-07-03 14:36:34,957  19.03 Flick from(82,636)to(97,261)
2012-07-03 14:36:35,489  19.56 Flick from(82,636)to(97,261)
2012-07-03 14:36:36,019  20.09 Flick from(82,636)to(97,261)
2012-07-03 14:36:36,549  20.62 Flick from(82,636)to(97,261)
2012-07-03 14:36:37,112  21.18 Flick from(82,636)to(97,261)
2012-07-03 14:36:37,642  21.71 Flick from(82,636)to(97,261)
2012-07-03 14:36:38,173  22.24 Flick from(82,636)to(97,261)
2012-07-03 14:36:38,703  22.77 Flick from(82,636)to(97,261)
2012-07-03 14:36:39,233  23.30 Flick from(82,636)to(97,261)
2012-07-03 14:36:39,763  23.83 Flick from(82,636)to(97,261)
2012-07-03 14:36:40,292  24.36 Flick from(82,636)to(97,261)
2012-07-03 14:36:40,823  24.89 Flick from(82,636)to(97,261)
2012-07-03 14:36:41,354  25.42 Flick from(82,636)to(97,261)
2012-07-03 14:36:41,887  25.96 Flick from(82,636)to(97,261)
2012-07-03 14:36:42,417  26.49 Flick from(82,636)to(97,261)
